{the , 1305}
{of , 606}
{a , 549}
{and , 505}
{to , 463}
{was , 300}
{in , 283}
{I , 265}
{that , 236}
{his , 222}
{The , 177}
{he , 159}
{on , 144}
{you , 143}
{had , 142}
{He , 137}
{is , 129}
{it , 127}
{with , 125}
{from , 124}
{for , 118}
{this , 104}
{as , 103}
{Stu , 102}
{be , 102}
{Nixon , 89}
{an , 82}
{said , 82}
{into , 81}
{at , 80}
{her , 77}
{have , 76}
{some , 71}
{not , 67}
{She , 63}
{'I , 62}
{� , 62}
{up , 60}
{we , 60}
{were , 60}
{A , 57}
{are , 57}
{been , 57}
{but , 57}
{which , 57}
{just , 56}
{through , 56}
{what , 55}
{It , 52}
{can , 52}
{one , 52}
{said. , 52}
{they , 52}
{out , 51}
{him , 49}
{by , 48}
{who , 48}
{like , 46}
{could , 45}
{or , 45}
{she , 45}
{will , 45}
{Diana , 43}
{would , 42}
{all , 41}
{my , 41}
{there , 41}
{about , 39}
{your , 39}
{around , 38}
{if , 36}
{no , 36}
{do , 35}
{down , 35}
{their , 35}
{back , 34}
{And , 33}
{more , 33}
{Mr. , 32}
{has , 32}
{took , 31}
{They , 30}
{against , 30}
{our , 30}
{over , 30}
{still , 30}
{any , 29}
{don't , 29}
{here , 29}
{said, , 29}
{way , 29}
{We , 28}
{looked , 28}
{off , 28}
{me , 27}
{only , 27}
{other , 27}
{then , 27}
{us , 27}
{came , 26}
{felt , 26}
{man , 26}
{think , 26}
{His , 25}
{I'm , 25}
{What , 25}
{even , 24}
{its , 24}
{made , 24}
{seemed , 24}
{something , 24}
{come , 23}
{few , 23}
{know , 23}
{must , 23}
{spacer , 23}
{than , 23}
{time , 23}
{There , 22}
{it. , 22}
{Justine , 21}
{This , 21}
{You , 21}
{began , 21}
{little , 21}
{need , 21}
{room , 21}
{'The , 20}
{Severant , 20}
{door , 20}
{going , 20}
{quite , 20}
{soldier , 20}
{these , 20}
{where , 20}
{'I'm , 19}
{believe , 19}
{did , 19}
{first , 19}
{get , 19}
{good , 19}
{got , 19}
{now , 19}
{people , 19}
{thought. , 19}
{very , 19}
{Marcia , 18}
{him, , 18}
{spin , 18}
{them , 18}
{America , 17}
{American , 17}
{But , 17}
{behind , 17}
{him. , 17}
{it, , 17}
{last , 17}
{light , 17}
{saw , 17}
{across , 16}
{body , 16}
{eyes , 16}
{floated , 16}
{how , 16}
{most , 16}
{see , 16}
{soldiers , 16}
{vid , 16}
{when , 16}
{President , 15}
{am , 15}
{didn't , 15}
{heard , 15}
{many , 15}
{really , 15}
{sat , 15}
{small , 15}
{toward , 15}
{turned , 15}
{bit , 14}
{deep , 14}
{energy , 14}
{himself , 14}
{much , 14}
{once , 14}
{opened , 14}
{own , 14}
{room. , 14}
{space , 14}
{thing , 14}
{two , 14}
{uh, , 14}
{wall. , 14}
{work , 14}
{'Yes, , 13}
{Do , 13}
{Essence , 13}
{Groote , 13}
{Nixon. , 13}
{Palmer , 13}
{Tzadi , 13}
{another , 13}
{before , 13}
{computer , 13}
{every , 13}
{found , 13}
{head , 13}
{heart , 13}
{kind , 13}
{make , 13}
{president , 13}
{should , 13}
{such , 13}
{them, , 13}
{thin , 13}
{those , 13}
{time. , 13}
{want , 13}
{years , 13}
{'We , 12}
{As , 12}
{General , 12}
{In , 12}
{Stu's , 12}
{anything , 12}
{asked. , 12}
{because , 12}
{big , 12}
{left , 12}
{long , 12}
{looking , 12}
{net , 12}
{part , 12}
{pyramid , 12}
{so , 12}
{spacers , 12}
{thought, , 12}
{time, , 12}
{until , 12}
{woman , 12}
{worm , 12}
{'You , 11}
{I've , 11}
{United , 11}
{White , 11}
{along , 11}
{away , 11}
{center , 11}
{closed , 11}
{drive , 11}
{face , 11}
{gave , 11}
{great , 11}
{hand , 11}
{it's , 11}
{keep , 11}
{look , 11}
{may , 11}
{muscles , 11}
{never , 11}
{probably , 11}
{pushed , 11}
{system , 11}
{things , 11}
{thought , 11}
{wall , 11}
{'But , 10}
{'It , 10}
{Henrietta , 10}
{I'll , 10}
{If , 10}
{Nixon's , 10}
{Stu. , 10}
{able , 10}
{beyond , 10}
{bring , 10}
{each , 10}
{else , 10}
{end , 10}
{find , 10}
{flow , 10}
{government , 10}
{grabbed , 10}
{gun , 10}
{heh , 10}
{inside , 10}
{old , 10}
{on, , 10}
{pulled , 10}
{right, , 10}
{side , 10}
{suddenly , 10}
{well , 10}
{'Well, , 9}
{'What , 9}
{O'Connor , 9}
{Oestrike , 9}
{air , 9}
{airlock , 9}
